Name_of_interviewer,Agency,Date,Hi__my_name_is_and_I_am_workin,Record_Location,_Record_Location_latitude,_Record_Location_longitude,_Record_Location_altitude,_Record_Location_precision,District,VDC_Municipality,Ward_,Age,Gender,Caste_ethnicity,If__other__what_is_your_caste_,Occupation,If_other_occupa,Do_you_have_any_health_problem,For_the_following_questions__I,_1_Are_your_main_problems_bein,_1a_What_is_your_biggest_probl,_1a_If_other_what_is_your_bigge,_1b_What_is_your_second_biggest,_1b_If_other_what_is_your_secon,_1c_What_is_your_third_biggest_,_1c_If_other_what_is_your_third,_2_Satisfied_with_gov,_2a_Top_thing_gov,_2a_If_other_top_thing_gov,_2b_Second_thing_gov,_2b_If_other_second_thing_gov,_3_Do_you_have_information,_3a_Top_need_info,_3a_If_other_top_need_info,_3b_Second_need_info,_3b_If_other_second_need_info,_4_Satisfied_with_NGOs,_4a_Top_need_NGOs,_4a_If_other_top_need_NGOs,_4b_Second_need_NGOs,_4b_If_other_second_need_NGOs,_5_Is_support_fair,_5a_Top_reason_not_fair,_5a_If_other_top_reason_not_fai,_5b_Second_reason_not_fair,_5b_If_other_second_reason_not_,_6_Prepared_for_,_7_Have_been_heard,_8_Relief_effort_progress,_9_Main_problems_women,_9a_Top_problem_women,_9a_If_other_top_problem_women,_9b_Second_problem_women,_9b_If_other_second_problem_wom,This_is_the_end_of_the_survey_,meta/instanceID,_id,_uuid,_submission_time,_index,_parent_table_name,_parent_index,_tags,_notes
sarita sapkota,accountability,2015-09-24,,,,,,,Kavrepalanchok,kushadevi,9,25_39,male,Brahmin,,other,not mention,no_difficulty,,2___very_little,short_term_she,,livelihoods,,education,,2___very_little,cash_for_work,,seeds_and_fert,,1___not_at_all,news_about_government_decision,,how_to_register_for_access_sup,,1___not_at_all,building_mater,,seeds_and_fert,,4___mostly_yes,,,,,1___not_at_all,1___not_at_all,1___not_at_all,,,,,,,uuid:64d7e723-f6a2-4b01-9847-440e45c1dbc7,723524,64d7e723-f6a2-4b01-9847-440e45c1dbc7,2015-09-29T07:41:55,60,,-1,,
sarita sapkota,accountability,2015-09-24,,,,,,,Kavrepalanchok,kushadevi,2,55_greater,male,Brahmin,,farmer_laborer,,yes__some_diff,,1___not_at_all,long_term_shelter__housing,,toilets_sanitation,,seeds_and_fertilizers,,2___very_little,building_mater,,cash_for_work,,1___not_at_all,news_about_government_decision,,how_to_get_shelter_materials,,1___not_at_all,building_mater,,cash_for_work,,2___very_little,based_on_caste,,based_on_polit,,1___not_at_all,1___not_at_all,2___very_little,,,,,,,uuid:d9388ed6-c37a-4c0d-a678-d323a5af3c2e,723453,d9388ed6-c37a-4c0d-a678-d323a5af3c2e,2015-09-29T07:25:45,296,,-1,,
sarita sapkota,accountability,2015-09-25,,,,,,,Kavrepalanchok,kushadevi,3,55_greater,male,Chhetri,,farmer_laborer,,no_difficulty,,1___not_at_all,long_term_shelter__housing,,other,loan for home,healthcare,,1___not_at_all,building_mater,,cash_for_work,,1___not_at_all,news_about_government_decision,,how_to_get_shelter_materials,,1___not_at_all,building_mater,,cash_for_work,,2___very_little,based_on_polit,,first_come__fi,,1___not_at_all,1___not_at_all,2___very_little,,,,,,,uuid:53cfcb8e-26ef-4a0f-b67d-b8bf67b64653,723460,53cfcb8e-26ef-4a0f-b67d-b8bf67b64653,2015-09-29T07:28:15,303,,-1,,
sarita sapkota,accountability,2015-09-25,,,,,,,Kavrepalanchok,kushadevi,3,25_39,male,Chhetri,,farmer_laborer,,yes__some_diff,,1___not_at_all,long_term_shelter__housing,,healthcare,,livelihoods,,2___very_little,building_mater,,other,worker,2___very_little,news_about_government_decision,,how_to_get_shelter_materials,,1___not_at_all,building_mater,,cash_for_work,,2___very_little,based_on_caste,,based_on_polit,,1___not_at_all,2___not_very_m,1___not_at_all,,,,,,,uuid:69a244d0-96b8-439c-8a3b-2293870a6b24,723474,69a244d0-96b8-439c-8a3b-2293870a6b24,2015-09-29T07:32:35,314,,-1,,
rabin adhikari,accountability,2015-09-21,,,,,,,Kavrepalanchok,mangaltar,2,25_39,female,Tamang,,other,student,no_difficulty,,1___not_at_all,long_term_shelter__housing,,toilets_sanitation,,healthcare,,2___very_little,cash_for_work,,building_mater,,2___very_little,how_to_get_healthcare_psycholo,,finding_missing_people,,2___very_little,cash_for_work,,seeds_and_fert,,1___not_at_all,based_on_caste,,based_on_polit,,2___very_little,3___neutral,2___very_little,1___not_at_all,education,,livelihoods,,,uuid:b16ec7df-051c-4b91-b75b-04b37111a350,724221,b16ec7df-051c-4b91-b75b-04b37111a350,2015-09-29T09:22:15,427,,-1,,
rabin adhikari,accountability,2015-09-21,,,,,,,Kavrepalanchok,mangaltar,7,25_39,female,Tamang,,farmer_laborer,,no_difficulty,,1___not_at_all,education,,psychosocial_counseling,,toilets_sanitation,,1___not_at_all,housing_inspec,,cash_for_work,,1___not_at_all,how_to_get_healthcare_psycholo,,finding_missing_people,,2___very_little,cash_for_work,,housing_inspec,,4___mostly_yes,,,,,2___very_little,1___not_at_all,1___not_at_all,5___completely_yes,,,,,,uuid:36d4ae31-72ce-4cc6-8b6d-1999b6984aaf,724290,36d4ae31-72ce-4cc6-8b6d-1999b6984aaf,2015-09-29T09:35:09,467,,-1,,
rabin adhikari,accountability,2015-09-21,,,,,,,Kavrepalanchok,mangaltar,7,40_54,female,Tamang,,farmer_laborer,,no_difficulty,,1___not_at_all,long_term_shelter__housing,,clean_water,,seeds_and_fertilizers,,1___not_at_all,cash_for_work,,building_mater,,2___very_little,finding_missing_people,,how_to_get_shelter_materials,,2___very_little,building_mater,,cash_for_work,,1___not_at_all,because_people,,first_come__fi,,2___very_little,1___not_at_all,2___very_little,2___very_little,long_term_shelter__housing,,housing_inspections,,,uuid:a20478f1-2192-4118-8213-82375b400b34,724331,a20478f1-2192-4118-8213-82375b400b34,2015-09-29T09:41:32,490,,-1,,
rabin adhikari,accountability,2015-09-21,,,,,,,Kavrepalanchok,mangaltar,9,25_39,female,Tamang,,farmer_laborer,,no_difficulty,,1___not_at_all,long_term_shelter__housing,,healthcare,,toilets_sanitation,,2___very_little,building_mater,,cash_for_work,,2___very_little,finding_missing_people,,how_to_get_shelter_materials,,2___very_little,housing_inspec,,cash_for_work,,2___very_little,because_people,,first_come__fi,,2___very_little,2___not_very_m,2___very_little,1___not_at_all,livelihoods,,long_term_shelter__housing,,,uuid:e1c69932-7a51-4a24-a90d-64d8e81583ba,724415,e1c69932-7a51-4a24-a90d-64d8e81583ba,2015-09-29T09:55:17,548,,-1,,
rabin adhikari,accountability,2015-09-21,,,,,,,Kavrepalanchok,mangaltar,2,55_greater,female,Tamang,,farmer_laborer,,no_difficulty,,1___not_at_all,healthcare,,long_term_shelter__housing,,education,,2___very_little,housing_inspec,,cash_for_work,,2___very_little,how_to_get_healthcare_psycholo,,finding_missing_people,,2___very_little,cash_for_work,,housing_inspec,,2___very_little,because_people,,first_come__fi,,2___very_little,1___not_at_all,2___very_little,2___very_little,toilets_sanitation,,education,,,uuid:1bd07327-b1c2-4f92-983b-24ed4815f0ed,723731,1bd07327-b1c2-4f92-983b-24ed4815f0ed,2015-09-29T08:00:32,390,,-1,,
rabin adhikari,accountability,2015-09-21,,,,,,,Kavrepalanchok,mangaltar,2,40_54,male,Tamang,,farmer_laborer,,no_difficulty,,1___not_at_all,long_term_shelter__housing,,short_term_shelter__tent_shelt,,seeds_and_fertilizers,,2___very_little,building_mater,,food_aid,,2___very_little,how_to_get_healthcare_psycholo,,how_to_get_shelter_materials,,2___very_little,cash_for_work,,food_aid,,don_t_know,,,,,1___not_at_all,1___not_at_all,don_t_know,,,,,,,uuid:45f36133-d4de-4c7d-a337-2662581c07cc,724233,45f36133-d4de-4c7d-a337-2662581c07cc,2015-09-29T09:24:59,434,,-1,,
rabin adhikari,accountability,2015-09-21,,,,,,,Kavrepalanchok,mangaltar,2,40_54,male,Tamang,,farmer_laborer,,no_difficulty,,1___not_at_all,short_term_she,,long_term_shelter__housing,,seeds_and_fertilizers,,1___not_at_all,building_mater,,food_aid,,1___not_at_all,news_about_government_decision,,how_to_get_shelter_materials,,2___very_little,building_mater,,food_aid,,1___not_at_all,based_on_polit,,only_if_damage,,2___very_little,2___not_very_m,1___not_at_all,,,,,,,uuid:b86836d4-3133-4e41-b031-61898909db2d,724241,b86836d4-3133-4e41-b031-61898909db2d,2015-09-29T09:27:23,441,,-1,,
rabin adhikari,accountability,2015-09-21,,,,,,,Kavrepalanchok,mangaltar,2,55_greater,male,Tamang,,farmer_laborer,,no_difficulty,,1___not_at_all,short_term_she,,long_term_shelter__housing,,seeds_and_fertilizers,,1___not_at_all,building_mater,,food_aid,,1___not_at_all,news_about_government_decision,,how_to_register_for_access_sup,,1___not_at_all,cash_for_work,,food_aid,,don_t_know,,,,,1___not_at_all,1___not_at_all,1___not_at_all,,,,,,,uuid:2d83af15-39af-46a8-8686-c5119b8639f3,724252,2d83af15-39af-46a8-8686-c5119b8639f3,2015-09-29T09:29:34,447,,-1,,
rabin adhikari,accountability,2015-09-21,,,,,,,Kavrepalanchok,mangaltar,7,40_54,male,Tamang,,farmer_laborer,,no_difficulty,,1___not_at_all,long_term_shelter__housing,,livelihoods,,toilets_sanitation,,1___not_at_all,building_mater,,cash_for_work,,2___very_little,finding_missing_people,,how_to_get_healthcare_psycholo,,2___very_little,cash_for_work,,building_mater,,2___very_little,based_on_dista,,based_on_polit,,2___very_little,2___not_very_m,1___not_at_all,,,,,,,uuid:9d57ba36-2cd8-451b-94f8-aceceb263128,724276,9d57ba36-2cd8-451b-94f8-aceceb263128,2015-09-29T09:32:18,458,,-1,,
rabin adhikari,accountability,2015-09-21,,,,,,,Kavrepalanchok,mangaltar,7,55_greater,male,Tamang,,farmer_laborer,,no_difficulty,,2___very_little,long_term_shelter__housing,,livelihoods,,toilets_sanitation,,1___not_at_all,cash_for_work,,building_mater,,2___very_little,how_to_get_healthcare_psycholo,,news_about_government_decision,,2___very_little,housing_inspec,,cash_for_work,,2___very_little,first_come__fi,,based_on_polit,,2___very_little,1___not_at_all,2___very_little,,,,,,,uuid:20963bb0-cb46-4482-9fcc-b6bd194415e1,724309,20963bb0-cb46-4482-9fcc-b6bd194415e1,2015-09-29T09:37:21,478,,-1,,
rabin adhikari,accountability,2015-09-21,,,,,,,Kavrepalanchok,mangaltar,7,15_24,male,Tamang,,other,student,no_difficulty,,2___very_little,long_term_shelter__housing,,education,,livelihoods,,2___very_little,building_mater,,cash_for_work,,1___not_at_all,how_to_get_healthcare_psycholo,,finding_missing_people,,2___very_little,cash_for_work,,building_mater,,2___very_little,based_on_polit,,first_come__fi,,2___very_little,1___not_at_all,2___very_little,,,,,,,uuid:d9dde2cd-9261-41af-987f-6696199c53d7,724342,d9dde2cd-9261-41af-987f-6696199c53d7,2015-09-29T09:43:00,498,,-1,,
rabin adhikari,accountability,2015-09-21,,,,,,,Kavrepalanchok,mangaltar,9,25_39,male,Tamang,,farmer_laborer,,no_difficulty,,2___very_little,long_term_shelter__housing,,clean_water,,healthcare,,2___very_little,building_mater,,seeds_and_fert,,1___not_at_all,finding_missing_people,,how_to_get_shelter_materials,,2___very_little,building_mater,,other,no need of money,4___mostly_yes,,,,,1___not_at_all,2___not_very_m,2___very_little,,,,,,,uuid:6d793da7-9fa9-45aa-9ee3-eb02a856ae5a,724351,6d793da7-9fa9-45aa-9ee3-eb02a856ae5a,2015-09-29T09:44:08,502,,-1,,
rabin adhikari,accountability,2015-09-21,,,,,,,Kavrepalanchok,mangaltar,9,40_54,male,Tamang,,farmer_laborer,,no_difficulty,,1___not_at_all,long_term_shelter__housing,,healthcare,,toilets_sanitation,,2___very_little,building_mater,,cash_for_work,,2___very_little,finding_missing_people,,news_about_government_decision,,1___not_at_all,housing_inspec,,cash_for_work,,2___very_little,because_people,,based_on_polit,,2___very_little,1___not_at_all,1___not_at_all,,,,,,,uuid:da053507-5ce8-4ff6-b7e4-a5dbc7664e19,724381,da053507-5ce8-4ff6-b7e4-a5dbc7664e19,2015-09-29T09:49:18,527,,-1,,
rabin adhikari,accountability,2015-09-21,,,,,,,Kavrepalanchok,mangaltar,9,40_54,male,Tamang,,farmer_laborer,,no_difficulty,,1___not_at_all,long_term_shelter__housing,,livelihoods,,clean_water,,1___not_at_all,cash_for_work,,building_mater,,1___not_at_all,how_to_get_shelter_materials,,how_to_get_healthcare_psycholo,,1___not_at_all,building_mater,,cash_for_work,,1___not_at_all,other,money are get by the people who play MARRIAGE CARD GAME,other,money are get by the people who play MARRIAGE CARD GAME,1___not_at_all,2___not_very_m,2___very_little,,,,,,,uuid:5d6d7606-711e-4d17-9850-6ca0179a27c4,724400,5d6d7606-711e-4d17-9850-6ca0179a27c4,2015-09-29T09:52:53,536,,-1,,
rabin adhikari,accountability,2015-09-21,,,,,,,Kavrepalanchok,mangatar,9,40_54,male,Tamang,,farmer_laborer,,yes__some_diff,,2___very_little,long_term_shelter__housing,,healthcare,,education,,1___not_at_all,building_mater,,cash_for_work,,2___very_little,how_to_get_healthcare_psycholo,,finding_missing_people,,2___very_little,building_mater,,cash_for_work,,2___very_little,because_people,,first_come__fi,,2___very_little,1___not_at_all,2___very_little,,,,,,,uuid:c3fac44b-35f5-4c26-85eb-1157379570ca,724368,c3fac44b-35f5-4c26-85eb-1157379570ca,2015-09-29T09:46:55,516,,-1,,
Rajkumar Parajuli,accountability,2015-09-23,,,,,,,Kavrepalanchok,panchkhal,5,40_54,female,Brahmin,,government_ser,,no_difficulty,,1___not_at_all,long_term_shelter__housing,,clean_water,,healthcare,,2___very_little,building_mater,,seeds_and_fert,,1___not_at_all,news_about_government_decision,,how_to_get_shelter_materials,,1___not_at_all,building_mater,,seeds_and_fert,,1___not_at_all,based_on_caste,,based_on_polit,,5___completely_yes,1___not_at_all,2___very_little,2___very_little,long_term_shelter__housing,,seeds_and_fertilizers,,,uuid:180d1a74-c66f-4d6b-8fca-319ee6728c94,725310,180d1a74-c66f-4d6b-8fca-319ee6728c94,2015-09-29T11:27:40,868,,-1,,
Rajkumar Parajuli,accountability,2015-09-23,,,,,,,Kavrepalanchok,panchkhal,7,40_54,male,Brahmin,,farmer_laborer,,no_difficulty,,1___not_at_all,long_term_shelter__housing,,seeds_and_fertilizers,,clean_water,,1___not_at_all,building_mater,,seeds_and_fert,,2___very_little,news_about_government_decision,,how_to_get_shelter_materials,,1___not_at_all,building_mater,,seeds_and_fert,,1___not_at_all,based_on_dista,,based_on_polit,,5___completely_yes,2___not_very_m,2___very_little,,,,,,,uuid:e6effe30-9a79-4d38-93ba-2c0babaa7c06,725374,e6effe30-9a79-4d38-93ba-2c0babaa7c06,2015-09-29T11:34:54,79,,-1,,
Rajkumar Parajuli,accountability,2015-09-23,,,,,,,Kavrepalanchok,panchkhal,7,40_54,male,Tamang,,farmer_laborer,,no_difficulty,,1___not_at_all,long_term_shelter__housing,,clean_water,,long_term_shelter__housing,,1___not_at_all,building_mater,,cash_for_work,,1___not_at_all,news_about_government_decision,,how_to_get_shelter_materials,,1___not_at_all,building_mater,,cash_for_work,,1___not_at_all,based_on_caste,,based_on_polit,,2___very_little,1___not_at_all,2___very_little,,,,,,,uuid:107adb07-c6f4-4b29-8ee6-b9cf11e2a66c,725364,107adb07-c6f4-4b29-8ee6-b9cf11e2a66c,2015-09-29T11:32:53,96,,-1,,
Rajkumar Parajuli,accountability,2015-09-23,,,,,,,Kavrepalanchok,Panchkhal,3,55_greater,male,Brahmin,,other,Retired officer,no_difficulty,,3___neutral,clean_water,,long_term_shelter__housing,,healthcare,,2___very_little,building_mater,,seeds_and_fert,,2___very_little,news_about_government_decision,,how_to_get_shelter_materials,,don_t_know,,,,,1___not_at_all,based_on_polit,,based_on_dista,,2___very_little,1___not_at_all,2___very_little,,,,,,,uuid:0a4efca2-064e-4a61-9fa1-0b1f480cc4d5,724905,0a4efca2-064e-4a61-9fa1-0b1f480cc4d5,2015-09-29T10:54:02,754,,-1,,
Rajkumar Parajuli,accountability,2015-09-23,,,,,,,Kavrepalanchok,Panchkhal,3,25_39,male,Tamang,,farmer_laborer,,no_difficulty,,1___not_at_all,long_term_shelter__housing,,clean_water,,healthcare,,1___not_at_all,building_mater,,cash_for_work,,2___very_little,news_about_government_decision,,how_to_get_shelter_materials,,2___very_little,building_mater,,cash_for_work,,1___not_at_all,based_on_polit,,based_on_dista,,1___not_at_all,1___not_at_all,2___very_little,,,,,,,uuid:e01cdccd-0d89-4a8a-8d94-dcafae1d878e,724939,e01cdccd-0d89-4a8a-8d94-dcafae1d878e,2015-09-29T10:56:48,765,,-1,,
Rajkumar Parajuli,accountability,2015-09-23,,,,,,,Kavrepalanchok,Panchkhal,3,25_39,male,Chhetri,,other,business,no_difficulty,,2___very_little,long_term_shelter__housing,,clean_water,,healthcare,,2___very_little,building_mater,,cash_for_work,,4___mostly_yes,,,,,2___very_little,building_mater,,cash_for_work,,2___very_little,based_on_caste,,based_on_polit,,1___not_at_all,2___not_very_m,2___very_little,,,,,,,uuid:123c278a-e069-45ae-af51-db834ab88bb3,724983,123c278a-e069-45ae-af51-db834ab88bb3,2015-09-29T11:00:17,776,,-1,,
Rajkumar Parajuli,accountability,2015-09-23,,,,,,,Kavrepalanchok,Panchkhal,3,25_39,male,Brahmin,,other,business,no_difficulty,,2___very_little,long_term_shelter__housing,,seeds_and_fertilizers,,healthcare,,2___very_little,building_mater,,cash_for_work,,4___mostly_yes,,,,,1___not_at_all,seeds_and_fert,,food_aid,,2___very_little,based_on_caste,,based_on_polit,,1___not_at_all,2___not_very_m,2___very_little,,,,,,,uuid:84feb951-130e-43a9-8d8c-fee004bbf654,725024,84feb951-130e-43a9-8d8c-fee004bbf654,2015-09-29T11:02:56,785,,-1,,
Rajkumar Parajuli,accountability,2015-09-23,,,,,,,Kavrepalanchok,Panchkhal,3,25_39,male,Brahmin,,ngo_worker_bus,,no_difficulty,,2___very_little,long_term_shelter__housing,,clean_water,,healthcare,,2___very_little,building_mater,,cash_for_work,,4___mostly_yes,,,,,1___not_at_all,building_mater,,seeds_and_fert,,1___not_at_all,based_on_caste,,based_on_polit,,1___not_at_all,2___not_very_m,2___very_little,,,,,,,uuid:65a080e6-16f9-4961-ab8d-8258c9075520,725038,65a080e6-16f9-4961-ab8d-8258c9075520,2015-09-29T11:05:05,795,,-1,,
Rajkumar Parajuli,accountability,2015-09-23,,,,,,,Kavrepalanchok,Panchkhal,4,25_39,male,Brahmin,,ngo_worker_bus,,no_difficulty,,2___very_little,long_term_shelter__housing,,clean_water,,seeds_and_fertilizers,,1___not_at_all,building_mater,,cash_for_work,,4___mostly_yes,,,,,1___not_at_all,building_mater,,seeds_and_fert,,1___not_at_all,based_on_polit,,based_on_caste,,2___very_little,2___not_very_m,2___very_little,,,,,,,uuid:492ba9f0-13c8-4621-9fdb-adc73a5ef6e0,725052,492ba9f0-13c8-4621-9fdb-adc73a5ef6e0,2015-09-29T11:07:26,800,,-1,,
Rajkumar Parajuli,accountability,2015-09-23,,,,,,,Kavrepalanchok,Panchkhal,4,25_39,male,Brahmin,,farmer_laborer,,no_difficulty,,2___very_little,long_term_shelter__housing,,seeds_and_fertilizers,,clean_water,,1___not_at_all,building_mater,,seeds_and_fert,,2___very_little,news_about_government_decision,,how_to_get_shelter_materials,,1___not_at_all,building_mater,,cash_for_work,,2___very_little,based_on_caste,,based_on_polit,,2___very_little,2___not_very_m,2___very_little,,,,,,,uuid:4ac4f442-8030-4c5b-a20d-fa9254924380,725079,4ac4f442-8030-4c5b-a20d-fa9254924380,2015-09-29T11:09:14,805,,-1,,
Rajkumar Parajuli,accountability,2015-09-23,,,,,,,Kavrepalanchok,Panchkhal,4,40_54,male,Brahmin,,other,politic,no_difficulty,,1___not_at_all,long_term_shelter__housing,,clean_water,,seeds_and_fertilizers,,1___not_at_all,building_mater,,cash_for_work,,2___very_little,news_about_government_decision,,how_to_get_shelter_materials,,1___not_at_all,building_mater,,cash_for_work,,1___not_at_all,based_on_polit,,based_on_caste,,2___very_little,2___not_very_m,1___not_at_all,,,,,,,uuid:9b90d212-fb1b-494a-be5e-42a46a4b17ba,725099,9b90d212-fb1b-494a-be5e-42a46a4b17ba,2015-09-29T11:11:30,812,,-1,,
Rajkumar Parajuli,accountability,2015-09-23,,,,,,,Kavrepalanchok,panchkhal,4,40_54,male,Brahmin,,other,politic,no_difficulty,,1___not_at_all,long_term_shelter__housing,,seeds_and_fertilizers,,clean_water,,1___not_at_all,building_mater,,cash_for_work,,2___very_little,news_about_government_decision,,how_to_get_shelter_materials,,1___not_at_all,building_mater,,food_aid,,1___not_at_all,based_on_caste,,based_on_polit,,2___very_little,2___not_very_m,2___very_little,,,,,,,uuid:003eb0bd-fc9e-445f-8ce9-995e2135c028,725116,003eb0bd-fc9e-445f-8ce9-995e2135c028,2015-09-29T11:13:43,819,,-1,,
Rajkumar Parajuli,accountability,2015-09-23,,,,,,,Kavrepalanchok,panchkhal,4,25_39,male,Brahmin,,ngo_worker_bus,,no_difficulty,,2___very_little,long_term_shelter__housing,,clean_water,,healthcare,,1___not_at_all,building_mater,,seeds_and_fert,,2___very_little,news_about_government_decision,,how_to_get_shelter_materials,,1___not_at_all,building_mater,,seeds_and_fert,,1___not_at_all,based_on_caste,,based_on_polit,,2___very_little,2___not_very_m,2___very_little,,,,,,,uuid:1090ad98-84e3-4609-ab21-8f21a031e5d4,725127,1090ad98-84e3-4609-ab21-8f21a031e5d4,2015-09-29T11:15:29,826,,-1,,
Rajkumar Parajuli,accountability,2015-09-23,,,,,,,Kavrepalanchok,panchkhal,5,40_54,male,Brahmin,,government_ser,,no_difficulty,,2___very_little,long_term_shelter__housing,,seeds_and_fertilizers,,clean_water,,2___very_little,building_mater,,seeds_and_fert,,1___not_at_all,news_about_government_decision,,how_to_get_shelter_materials,,1___not_at_all,building_mater,,seeds_and_fert,,1___not_at_all,based_on_polit,,based_on_caste,,5___completely_yes,1___not_at_all,2___very_little,,,,,,,uuid:5f07dd37-3e06-49f0-be35-2320c6bd250c,725142,5f07dd37-3e06-49f0-be35-2320c6bd250c,2015-09-29T11:18:48,838,,-1,,
Rajkumar Parajuli,accountability,2015-09-23,,,,,,,Kavrepalanchok,panchkhal,5,25_39,male,Brahmin,,farmer_laborer,,no_difficulty,,2___very_little,long_term_shelter__housing,,clean_water,,seeds_and_fertilizers,,1___not_at_all,building_mater,,seeds_and_fert,,1___not_at_all,news_about_government_decision,,how_to_get_shelter_materials,,1___not_at_all,building_mater,,seeds_and_fert,,1___not_at_all,based_on_caste,,based_on_polit,,4___mostly_yes,1___not_at_all,2___very_little,,,,,,,uuid:2d65d906-2b9d-436c-9785-343d96c66813,725154,2d65d906-2b9d-436c-9785-343d96c66813,2015-09-29T11:20:33,845,,-1,,
Rajkumar Parajuli,accountability,2015-09-23,,,,,,,Kavrepalanchok,panchkhal,5,25_39,male,Janajati,,farmer_laborer,,no_difficulty,,1___not_at_all,long_term_shelter__housing,,clean_water,,seeds_and_fertilizers,,1___not_at_all,building_mater,,seeds_and_fert,,1___not_at_all,news_about_government_decision,,how_to_get_shelter_materials,,1___not_at_all,building_mater,,seeds_and_fert,,1___not_at_all,based_on_caste,,based_on_polit,,5___completely_yes,1___not_at_all,2___very_little,,,,,,,uuid:97e546ae-a4ba-4689-a24f-e7c9cd6cd952,725235,97e546ae-a4ba-4689-a24f-e7c9cd6cd952,2015-09-29T11:22:49,853,,-1,,
Rajkumar Parajuli,accountability,2015-09-23,,,,,,,Kavrepalanchok,panchkhal,5,25_39,male,Janajati,,farmer_laborer,,no_difficulty,,1___not_at_all,long_term_shelter__housing,,seeds_and_fertilizers,,clean_water,,1___not_at_all,building_mater,,seeds_and_fert,,2___very_little,news_about_government_decision,,how_to_get_shelter_materials,,1___not_at_all,building_mater,,seeds_and_fert,,2___very_little,based_on_dista,,based_on_polit,,5___completely_yes,1___not_at_all,2___very_little,,,,,,,uuid:344f39f6-3aed-41f8-ba50-0f8ce59539a2,725276,344f39f6-3aed-41f8-ba50-0f8ce59539a2,2015-09-29T11:24:48,860,,-1,,
Rajkumar Parajuli,accountability,2015-09-23,,,,,,,Kavrepalanchok,panchkhal,7,40_54,male,Brahmin,,farmer_laborer,,no_difficulty,,1___not_at_all,long_term_shelter__housing,,seeds_and_fertilizers,,clean_water,,1___not_at_all,building_mater,,cash_for_work,,1___not_at_all,news_about_government_decision,,how_to_get_shelter_materials,,1___not_at_all,building_mater,,seeds_and_fert,,1___not_at_all,based_on_caste,,based_on_polit,,5___completely_yes,2___not_very_m,2___very_little,,,,,,,uuid:768a4690-262f-432f-ba91-299f8f6cd13c,725355,768a4690-262f-432f-ba91-299f8f6cd13c,2015-09-29T11:31:05,877,,-1,,
Rajkumar Parajuli,accountability,2015-09-23,,,,,,,Kavrepalanchok,panchkhal,7,40_54,male,Brahmin,,farmer_laborer,,no_difficulty,,1___not_at_all,long_term_shelter__housing,,clean_water,,seeds_and_fertilizers,,1___not_at_all,building_mater,,seeds_and_fert,,2___very_little,news_about_government_decision,,how_to_get_shelter_materials,,1___not_at_all,building_mater,,seeds_and_fert,,1___not_at_all,based_on_caste,,based_on_polit,,5___completely_yes,2___not_very_m,2___very_little,,,,,,,uuid:5489e383-e24f-48a3-a4e3-dc96294a7350,725405,5489e383-e24f-48a3-a4e3-dc96294a7350,2015-09-29T11:36:33,884,,-1,,
Rajkumar Parajuli,accountability,2015-09-23,,,,,,,Kavrepalanchok,panchkhal,7,40_54,male,Tamang,,farmer_laborer,,no_difficulty,,1___not_at_all,long_term_shelter__housing,,clean_water,,financial_support,,1___not_at_all,building_mater,,cash_for_work,,1___not_at_all,news_about_government_decision,,how_to_get_shelter_materials,,1___not_at_all,building_mater,,cash_for_work,,1___not_at_all,based_on_dista,,first_come__fi,,2___very_little,2___not_very_m,2___very_little,,,,,,,uuid:711e40f1-a35c-45d4-a3e3-1b385e581a8d,725469,711e40f1-a35c-45d4-a3e3-1b385e581a8d,2015-09-29T11:38:21,892,,-1,,
sarita sapkota,accountability,2015-09-23,,,,,,,Kavrepalanchok,ryale,3,55_greater,female,Chhetri,,farmer_laborer,,yes__some_diff,,1___not_at_all,long_term_shelter__housing,,financial_support,,other,shelter for animals,1___not_at_all,building_mater,,cash_for_work,,2___very_little,news_about_government_decision,,how_to_register_for_access_sup,,4___mostly_yes,,,,,1___not_at_all,based_on_caste,,based_on_polit,,2___very_little,1___not_at_all,2___very_little,1___not_at_all,long_term_shelter__housing,,toilets_sanitation,,,uuid:478df127-bd5f-411d-b8f0-a54286e49afe,723354,478df127-bd5f-411d-b8f0-a54286e49afe,2015-09-29T07:03:30,231,,-1,,
sarita sapkota,accountability,2015-09-23,,,,,,,Kavrepalanchok,ryale,3,25_39,female,Newar,,other,shopkeeper,no_difficulty,,1___not_at_all,long_term_shelter__housing,,financial_support,,toilets_sanitation,,1___not_at_all,building_mater,,cash_for_work,,2___very_little,news_about_government_decision,,how_to_replace_personal_docume,,2___very_little,building_mater,,cash_for_work,,2___very_little,first_come__fi,,based_on_polit,,1___not_at_all,1___not_at_all,2___very_little,3___neutral,long_term_shelter__housing,,toilets_sanitation,,,uuid:ae238e2b-4641-4bda-a6ad-dbb436fb9a87,723384,ae238e2b-4641-4bda-a6ad-dbb436fb9a87,2015-09-29T07:10:21,248,,-1,,
