Name_of_interviewer,Agency,Date,Record_Location,_Record_Location_latitude,_Record_Location_longitude,_Record_Location_altitude,_Record_Location_precision,District,VDC_Municipality,Ward_,Age,Gender,Caste_ethnicity,If__other__what_is_your_caste_,Occupation,If_other_occupa,Do_you_have_any_health_problem,_1_Are_your_main_problems_bein,_1a_What_is_your_biggest_probl,_1a_If_other_what_is_your_bigge,_1b_What_is_your_second_biggest,_1b_If_other_what_is_your_secon,_1c_What_is_your_third_biggest_,_1c_If_other_what_is_your_third,_2_Satisfied_with_gov,_2a_Top_thing_gov,_2a_If_other_top_thing_gov,_2b_Second_thing_gov,_2b_If_other_second_thing_gov,_3_Do_you_have_information,_3a_Top_need_info,_3a_If_other_top_need_info,_3b_Second_need_info,_3b_If_other_second_need_info,_4_Satisfied_with_NGOs,_4a_Top_need_NGOs,_4a_If_other_top_need_NGOs,_4b_Second_need_NGOs,_4b_If_other_second_need_NGOs,_5_Is_support_fair,_5a_Top_reason_not_fair,_5a_If_other_top_reason_not_fai,_5b_Second_reason_not_fair,_5b_If_other_second_reason_not_,_6_Prepared_for_monsoon,_7_Have_been_heard,_8_Relief_effort_progress,_9_Main_problems_women,_9a_Top_problem_women,_9a_If_other_top_problem_women,_9b_Second_problem_women,_9b_If_other_second_problem_wom,start,end,meta/instanceID,_uuid,_submission_time,_tags,,,,,,,,,,,,,,,,_notes
sujan bidari,accountability,31/08/2015,n/a,n/a,n/a,n/a,n/a,Makwanpur,makwanpurgadhi,2,25_39,male,Tamang,n/a,farmer_laborer,n/a,no_difficulty,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,n/a,1___not_at_all,seeds_and_fert,n/a,cash_for_work,n/a,1___not_at_all,news_about_government_decision,n/a,how_to_register_for_access_sup,n/a,5___completely_yes,n/a,n/a,n/a,n/a,1___not_at_all,based_on_polit,n/a,first_come__fi,n/a,4___mostly_yes,2___not_very_m,4___mostly_yes,refused,n/a,n/a,n/a,n/a,2015-08-31T11:13:41.000+06:45,2015-08-31T11:15:20.000+06:45,uuid:4edbe466-e525-4b74-a4b4-fdac6b9c0899,4edbe466-e525-4b74-a4b4-fdac6b9c0899,2015-08-31T05:25:35,,,,,,,,,,,,,,,,,
sujan bidari,accountability,31/08/2015,n/a,n/a,n/a,n/a,n/a,Makwanpur,makwanpurgadhi,2,25_39,male,Tamang,n/a,farmer_laborer,n/a,no_difficulty,1___not_at_all,long_term_shelter__housing,n/a,clean_water,n/a,financial_support,n/a,1___not_at_all,cash_for_work,n/a,building_mater,n/a,1___not_at_all,news_about_government_decision,n/a,how_to_register_for_access_sup,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,1___not_at_all,based_on_polit,n/a,first_come__fi,n/a,4___mostly_yes,1___not_at_all,4___mostly_yes,refused,n/a,n/a,n/a,n/a,2015-08-31T11:15:20.000+06:45,2015-08-31T11:16:55.000+06:45,uuid:13ebaa5b-0d8b-4a4a-a9a1-98519ae830c2,13ebaa5b-0d8b-4a4a-a9a1-98519ae830c2,2015-08-31T05:27:09,,,,,,,,,,,,,,,,,
sujan bidari,accountability,31/08/2015,n/a,n/a,n/a,n/a,n/a,Makwanpur,makwanpurgadhi,7,40_54,female,Brahmin,n/a,farmer_laborer,n/a,yes__some_diff,1___not_at_all,clean_water,n/a,financial_support,n/a,long_term_shelter__housing,n/a,2___very_little,building_mater,n/a,cash_for_work,n/a,2___very_little,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,1___not_at_all,cash_for_work,n/a,building_mater,n/a,1___not_at_all,based_on_polit,n/a,first_come__fi,n/a,4___mostly_yes,1___not_at_all,2___very_little,1___not_at_all,clean_water,n/a,financial_support,n/a,2015-08-31T11:23:06.000+06:45,2015-08-31T11:25:27.000+06:45,uuid:fcd514d9-44ee-42d7-adf3-c4fca13eaa83,fcd514d9-44ee-42d7-adf3-c4fca13eaa83,2015-08-31T05:35:42,,,,,,,,,,,,,,,,,
sujan bidari,accountability,31/08/2015,n/a,n/a,n/a,n/a,n/a,Makwanpur,makwanpurgadhi,7,25_39,male,Brahmin,n/a,farmer_laborer,n/a,no_difficulty,1___not_at_all,long_term_shelter__housing,n/a,clean_water,n/a,financial_support,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,5___completely_yes,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,1___not_at_all,based_on_polit,n/a,first_come__fi,n/a,1___not_at_all,1___not_at_all,4___mostly_yes,refused,n/a,n/a,n/a,n/a,2015-08-31T11:25:27.000+06:45,2015-08-31T11:26:43.000+06:45,uuid:0ec62b2b-e030-479a-aa1b-8e7ee625e278,0ec62b2b-e030-479a-aa1b-8e7ee625e278,2015-08-31T05:36:56,,,,,,,,,,,,,,,,,
sujan bidari,accountability,31/08/2015,n/a,n/a,n/a,n/a,n/a,Makwanpur,makwanpurgadhi,7,40_54,female,Chhetri,n/a,farmer_laborer,n/a,no_difficulty,1___not_at_all,clean_water,n/a,short_term_shelter__tent_shelt,n/a,housing_inspections,n/a,1___not_at_all,cash_for_work,n/a,building_mater,n/a,3___neutral,news_about_government_decision,n/a,how_to_register_for_access_sup,n/a,1___not_at_all,building_mater,n/a,seeds_and_fert,n/a,1___not_at_all,first_come__fi,n/a,based_on_polit,n/a,1___not_at_all,1___not_at_all,1___not_at_all,3___neutral,clean_water,n/a,long_term_shelter__housing,n/a,2015-08-31T11:26:43.000+06:45,2015-08-31T11:28:25.000+06:45,uuid:6aa5d275-1919-49d8-996b-2c09e3bda937,6aa5d275-1919-49d8-996b-2c09e3bda937,2015-08-31T05:38:39,,,,,,,,,,,,,,,,,
xyz,accountability,31/08/2015,n/a,n/a,n/a,n/a,n/a,Makwanpur,manahari,7,40_54,male,Janajati,n/a,farmer_laborer,n/a,no_difficulty,2___very_little,financial_support,n/a,seeds_and_fertilizers,n/a,clean_water,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,2___very_little,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,2___very_little,seeds_and_fert,n/a,cash_for_work,n/a,don_t_know,n/a,n/a,n/a,n/a,2___very_little,2___not_very_m,2___very_little,n/a,n/a,n/a,n/a,n/a,2015-08-31T11:22:52.000+06:45,2015-08-31T11:24:42.000+06:45,uuid:5ad78182-55ee-403e-9b02-46f736cdb434,5ad78182-55ee-403e-9b02-46f736cdb434,2015-08-31T05:35:54,,,,,,,,,,,,,,,,,
abc,accountability,31/08/2015,n/a,n/a,n/a,n/a,n/a,Makwanpur,manahari,9,15_24,female,Brahmin,n/a,other,student,no_difficulty,don_t_know,n/a,n/a,n/a,n/a,n/a,n/a,2___very_little,housing_inspec,n/a,cash_for_work,n/a,2___very_little,news_about_government_decision,n/a,how_to_register_for_access_sup,n/a,refused,n/a,n/a,n/a,n/a,2___very_little,based_on_polit,n/a,based_on_caste,n/a,4___mostly_yes,2___not_very_m,don_t_know,don_t_know,n/a,n/a,n/a,n/a,2015-08-31T11:24:43.000+06:45,2015-08-31T11:26:26.000+06:45,uuid:789bafd5-1b9b-4caf-86ac-2bf04946285e,789bafd5-1b9b-4caf-86ac-2bf04946285e,2015-08-31T05:37:39,,,,,,,,,,,,,,,,,
abc,accountability,31/08/2015,n/a,n/a,n/a,n/a,n/a,Makwanpur,manahari,9,25_39,female,Tamang,n/a,farmer_laborer,n/a,yes__some_diff,2___very_little,clean_water,n/a,housing_inspections,n/a,financial_support,n/a,don_t_know,n/a,n/a,n/a,n/a,2___very_little,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,2___very_little,cash_for_work,n/a,building_mater,n/a,2___very_little,based_on_polit,n/a,only_if_damage,n/a,3___neutral,2___not_very_m,2___very_little,2___very_little,gender_based_v,n/a,clean_water,n/a,2015-08-31T11:26:26.000+06:45,2015-08-31T11:28:58.000+06:45,uuid:35603339-6a2c-441d-ac82-d28b325d2bc6,35603339-6a2c-441d-ac82-d28b325d2bc6,2015-08-31T05:40:10,,,,,,,,,,,,,,,,,
abc,accountability,31/08/2015,n/a,n/a,n/a,n/a,n/a,Makwanpur,manahari,9,40_54,male,Brahmin,n/a,farmer_laborer,n/a,yes__some_diff,2___very_little,clean_water,n/a,financial_support,n/a,housing_inspections,n/a,2___very_little,building_mater,n/a,housing_inspec,n/a,2___very_little,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,2___very_little,cash_for_work,n/a,housing_inspec,n/a,1___not_at_all,based_on_polit,n/a,only_if_damage,n/a,4___mostly_yes,2___not_very_m,2___very_little,n/a,n/a,n/a,n/a,n/a,2015-08-31T11:28:58.000+06:45,2015-08-31T11:32:33.000+06:45,uuid:52415d06-be5b-4dfc-be51-684df0f66968,52415d06-be5b-4dfc-be51-684df0f66968,2015-08-31T05:43:44,,,,,,,,,,,,,,,,,
abc,accountability,31/08/2015,n/a,n/a,n/a,n/a,n/a,Makwanpur,manahari,9,40_54,male,Brahmin,n/a,farmer_laborer,n/a,no_difficulty,1___not_at_all,livelihoods,n/a,clean_water,n/a,housing_inspections,n/a,2___very_little,cash_for_work,n/a,building_mater,n/a,2___very_little,news_about_government_decision,n/a,how_to_register_for_access_sup,n/a,2___very_little,cash_for_work,n/a,housing_inspec,n/a,2___very_little,based_on_polit,n/a,only_if_damage,n/a,4___mostly_yes,2___not_very_m,2___very_little,n/a,n/a,n/a,n/a,n/a,2015-08-31T11:32:33.000+06:45,2015-08-31T11:35:11.000+06:45,uuid:eb54cce4-a7ea-4bbf-9227-9e1a6de54432,eb54cce4-a7ea-4bbf-9227-9e1a6de54432,2015-08-31T05:46:22,,,,,,,,,,,,,,,,,
abc,accountability,31/08/2015,n/a,n/a,n/a,n/a,n/a,Makwanpur,manahari,9,25_39,female,Muslim,n/a,other,student,no_difficulty,2___very_little,long_term_shelter__housing,n/a,financial_support,n/a,livelihoods,n/a,2___very_little,building_mater,n/a,cash_for_work,n/a,2___very_little,news_about_government_decision,n/a,how_to_register_for_access_sup,n/a,2___very_little,housing_inspec,n/a,building_mater,n/a,2___very_little,first_come__fi,n/a,based_on_polit,n/a,2___very_little,2___not_very_m,3___neutral,1___not_at_all,financial_support,n/a,toilets_sanitation,n/a,2015-08-31T11:35:11.000+06:45,2015-08-31T11:37:28.000+06:45,uuid:50c467b3-e993-4cfa-b9a0-85d0250fc6d5,50c467b3-e993-4cfa-b9a0-85d0250fc6d5,2015-08-31T05:48:40,,,,,,,,,,,,,,,,,
Ram Sharan Dulal,accountability,31/08/2015,n/a,n/a,n/a,n/a,n/a,Makwanpur,Manahari,7,40_54,male,Brahmin,n/a,farmer_laborer,n/a,yes__some_diff,1___not_at_all,clean_water,n/a,psychosocial_counseling,n/a,financial_support,n/a,2___very_little,cash_for_work,n/a,housing_inspec,n/a,2___very_little,news_about_government_decision,n/a,how_to_get_healthcare_psycholo,n/a,2___very_little,cash_for_work,n/a,housing_inspec,n/a,1___not_at_all,based_on_polit,n/a,other,given to known relatives only,3___neutral,2___not_very_m,1___not_at_all,n/a,n/a,n/a,n/a,n/a,2015-08-31T11:47:10.000+06:45,2015-08-31T11:52:39.000+06:45,uuid:34405495-9141-4e58-a79d-a272ac0a12da,34405495-9141-4e58-a79d-a272ac0a12da,2015-08-31T06:06:08,,,,,,,,,,,,,,,,,
ram sharan dulal,accountability,31/08/2015,n/a,n/a,n/a,n/a,n/a,Makwanpur,manahari,7,40_54,male,Janajati,n/a,farmer_laborer,n/a,yes__some_diff,2___very_little,psychosocial_counseling,n/a,clean_water,n/a,short_term_shelter__tent_shelt,n/a,2___very_little,housing_inspec,n/a,cash_for_work,n/a,1___not_at_all,how_to_get_healthcare_psycholo,n/a,news_about_government_decision,n/a,2___very_little,cash_for_work,n/a,food_aid,n/a,1___not_at_all,other,nepotism and favourotism,joint_families,n/a,1___not_at_all,1___not_at_all,2___very_little,n/a,n/a,n/a,n/a,n/a,2015-08-31T11:51:46.000+06:45,2015-08-31T11:56:03.000+06:45,uuid:f05245f9-e070-4b1d-9890-afd28641a66b,f05245f9-e070-4b1d-9890-afd28641a66b,2015-08-31T06:06:17,,,,,,,,,,,,,,,,,
ram sharan dulal,accountability,31/08/2015,n/a,n/a,n/a,n/a,n/a,Makwanpur,manahari,7,40_54,female,Brahmin,n/a,ngo_worker_bus,n/a,yes__some_diff,1___not_at_all,psychosocial_counseling,n/a,housing_inspections,n/a,clean_water,n/a,2___very_little,housing_inspec,n/a,cash_for_work,n/a,2___very_little,news_about_government_decision,n/a,how_to_get_healthcare_psycholo,n/a,3___neutral,housing_inspec,n/a,cash_for_work,n/a,2___very_little,first_come__fi,n/a,based_on_dista,n/a,2___very_little,1___not_at_all,2___very_little,1___not_at_all,healthcare,n/a,financial_support,n/a,2015-08-31T11:56:03.000+06:45,2015-08-31T11:57:49.000+06:45,uuid:fd76651f-cdbf-4abd-bb07-ee89b0105c7f,fd76651f-cdbf-4abd-bb07-ee89b0105c7f,2015-08-31T06:08:03,,,,,,,,,,,,,,,,,
Ram Sharan Dulal,accountability,31/08/2015,n/a,n/a,n/a,n/a,n/a,Makwanpur,Manahari,7,55_greater,male,Chhetri,n/a,farmer_laborer,n/a,yes__some_diff,2___very_little,psychosocial_counseling,n/a,clean_water,n/a,long_term_shelter__housing,n/a,2___very_little,cash_for_work,n/a,housing_inspec,n/a,2___very_little,news_about_government_decision,n/a,how_to_get_healthcare_psycholo,n/a,2___very_little,seeds_and_fert,n/a,cash_for_work,n/a,1___not_at_all,other,Nepotism,first_come__fi,n/a,1___not_at_all,1___not_at_all,refused,n/a,n/a,n/a,n/a,n/a,2015-08-31T11:52:39.000+06:45,2015-08-31T12:03:35.000+06:45,uuid:07811c1b-5acf-4b71-99fd-f793797fefa2,07811c1b-5acf-4b71-99fd-f793797fefa2,2015-08-31T06:17:05,,,,,,,,,,,,,,,,,
abc,accountability,31/08/2015,n/a,n/a,n/a,n/a,n/a,Makwanpur,namtar,2,40_54,female,Tamang,n/a,other,not mentioned,no_difficulty,3___neutral,long_term_shelter__housing,n/a,housing_inspections,n/a,toilets_sanitation,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,3___neutral,housing_inspec,n/a,building_mater,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,4___mostly_yes,4___mostly_yes,4___mostly_yes,n/a,n/a,n/a,n/a,2015-08-31T10:46:32.000+06:45,2015-08-31T10:50:59.000+06:45,uuid:da55964a-252c-44d0-8996-61f25d6e869a,da55964a-252c-44d0-8996-61f25d6e869a,2015-08-31T05:01:51,,,,,,,,,,,,,,,,,
abc,accountability,31/08/2015,n/a,n/a,n/a,n/a,n/a,Makwanpur,namtar,2,40_54,male,Brahmin,n/a,other,business,no_difficulty,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,5___completely_yes,n/a,n/a,n/a,n/a,4___mostly_yes,5___completely,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,2015-08-31T10:50:59.000+06:45,2015-08-31T10:53:17.000+06:45,uuid:e0897bf3-d9a1-47a8-98b7-a75453b32ad6,e0897bf3-d9a1-47a8-98b7-a75453b32ad6,2015-08-31T05:04:10,,,,,,,,,,,,,,,,,
abc,accountability,31/08/2015,n/a,n/a,n/a,n/a,n/a,Makwanpur,namtar,2,40_54,male,other,not mentioned,other,not mentioned,no_difficulty,5___completely_yes,n/a,n/a,n/a,n/a,n/a,n/a,3___neutral,building_mater,n/a,housing_inspec,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,1___not_at_all,other,health service,other,to solve the problems of drinking water and school construction,5___completely_yes,n/a,n/a,n/a,n/a,5___completely_yes,4___mostly_yes,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,2015-08-31T10:53:17.000+06:45,2015-08-31T10:58:16.000+06:45,uuid:21942cf6-b5e4-49e3-9f6b-b41a4a8165ec,21942cf6-b5e4-49e3-9f6b-b41a4a8165ec,2015-08-31T05:09:09,,,,,,,,,,,,,,,,,
abc,accountability,31/08/2015,n/a,n/a,n/a,n/a,n/a,Makwanpur,namtar,2,40_54,female,Tamang,n/a,other,voluenteer,no_difficulty,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,1___not_at_all,other,problem for pregnet womens,building_mater,n/a,1___not_at_all,first_come__fi,n/a,based_on_dista,n/a,4___mostly_yes,4___mostly_yes,4___mostly_yes,5___completely_yes,n/a,n/a,n/a,n/a,2015-08-31T10:58:16.000+06:45,2015-08-31T11:07:51.000+06:45,uuid:759a63af-d0dd-498d-85fd-913f65345fc4,759a63af-d0dd-498d-85fd-913f65345fc4,2015-08-31T05:18:44,,,,,,,,,,,,,,,,,
abc,accountability,31/08/2015,n/a,n/a,n/a,n/a,n/a,Makwanpur,namtar,2,55_greater,female,Brahmin,n/a,government_ser,n/a,no_difficulty,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,1___not_at_all,first_come__fi,n/a,based_on_dista,n/a,1___not_at_all,4___mostly_yes,3___neutral,2___very_little,maternal_neona,n/a,healthcare,n/a,2015-08-31T11:07:51.000+06:45,2015-08-31T11:11:31.000+06:45,uuid:cfd777ee-13cc-4488-96fd-3f85861b4e81,cfd777ee-13cc-4488-96fd-3f85861b4e81,2015-08-31T05:22:24,,,,,,,,,,,,,,,,,
sarita dahal,accountability,31/08/2015,n/a,n/a,n/a,n/a,n/a,Makwanpur,nibuwatar,1,40_54,male,Tamang,n/a,farmer_laborer,n/a,yes__some_diff,3___neutral,long_term_shelter__housing,n/a,clean_water,n/a,financial_support,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,1___not_at_all,cash_for_work,n/a,building_mater,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,1___not_at_all,4___mostly_yes,4___mostly_yes,refused,n/a,n/a,n/a,n/a,2015-08-31T11:50:21.000+06:45,2015-08-31T11:51:46.000+06:45,uuid:3c3b8a61-bf3a-4368-9286-93a1b4e794db,3c3b8a61-bf3a-4368-9286-93a1b4e794db,2015-08-31T06:02:00,,,,,,,,,,,,,,,,,
abc,accountability,31/08/2015,n/a,n/a,n/a,n/a,n/a,Makwanpur,nibuwatar,7,25_39,female,Tamang,n/a,farmer_laborer,n/a,yes__some_diff,1___not_at_all,long_term_shelter__housing,n/a,clean_water,n/a,financial_support,n/a,1___not_at_all,cash_for_work,n/a,building_mater,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,1___not_at_all,cash_for_work,n/a,seeds_and_fert,n/a,1___not_at_all,based_on_polit,n/a,first_come__fi,n/a,1___not_at_all,1___not_at_all,3___neutral,3___neutral,long_term_shelter__housing,n/a,gender_based_violence,n/a,2015-08-31T10:20:55.000+06:45,2015-08-31T10:28:05.000+06:45,uuid:8557c163-25d0-476b-9ce4-90d7f8702f6e,8557c163-25d0-476b-9ce4-90d7f8702f6e,2015-08-31T04:38:57,,,,,,,,,,,,,,,,,
abc,accountability,31/08/2015,n/a,n/a,n/a,n/a,n/a,Makwanpur,nibuwatar,7,40_54,female,Janajati,n/a,farmer_laborer,n/a,no_difficulty,5___completely_yes,n/a,n/a,n/a,n/a,n/a,n/a,refused,n/a,n/a,n/a,n/a,1___not_at_all,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,5___completely_yes,n/a,n/a,n/a,n/a,1___not_at_all,based_on_dista,n/a,based_on_polit,n/a,2___very_little,5___completely,refused,1___not_at_all,gender_based_v,n/a,livelihoods,n/a,2015-08-31T11:11:31.000+06:45,2015-08-31T11:17:14.000+06:45,uuid:a260d4ee-0d29-4a14-b054-32e969760fe7,a260d4ee-0d29-4a14-b054-32e969760fe7,2015-08-31T05:28:06,,,,,,,,,,,,,,,,,
abc,accountability,31/08/2015,n/a,n/a,n/a,n/a,n/a,Makwanpur,nibuwatar,7,refused,female,Janajati,n/a,farmer_laborer,n/a,yes__some_diff,2___very_little,long_term_shelter__housing,n/a,clean_water,n/a,livelihoods,n/a,2___very_little,cash_for_work,n/a,seeds_and_fert,n/a,2___very_little,how_to_register_for_access_sup,n/a,finding_missing_people,n/a,1___not_at_all,cash_for_work,n/a,food_aid,n/a,1___not_at_all,based_on_dista,n/a,based_on_polit,n/a,1___not_at_all,1___not_at_all,2___very_little,2___very_little,gender_based_v,n/a,sexual_and_rep,n/a,2015-08-31T11:17:14.000+06:45,2015-08-31T11:21:32.000+06:45,uuid:df3bb207-7f16-4c1d-912e-ee95154219f4,df3bb207-7f16-4c1d-912e-ee95154219f4,2015-08-31T05:32:24,,,,,,,,,,,,,,,,,
abc,accountability,31/08/2015,n/a,n/a,n/a,n/a,n/a,Makwanpur,nibuwatar,7,40_54,male,Tamang,n/a,farmer_laborer,n/a,no_difficulty,2___very_little,long_term_shelter__housing,n/a,clean_water,n/a,livelihoods,n/a,2___very_little,building_mater,n/a,seeds_and_fert,n/a,1___not_at_all,finding_missing_people,n/a,how_to_get_healthcare_psycholo,n/a,1___not_at_all,cash_for_work,n/a,seeds_and_fert,n/a,2___very_little,based_on_dista,n/a,first_come__fi,n/a,1___not_at_all,1___not_at_all,2___very_little,n/a,n/a,n/a,n/a,n/a,2015-08-31T11:21:32.000+06:45,2015-08-31T11:25:57.000+06:45,uuid:f28daf4b-bc15-465c-8472-20da80bc8fc2,f28daf4b-bc15-465c-8472-20da80bc8fc2,2015-08-31T05:36:49,,,,,,,,,,,,,,,,,
abc,accountability,31/08/2015,n/a,n/a,n/a,n/a,n/a,Makwanpur,nibuwatar,7,25_39,male,Tamang,n/a,farmer_laborer,n/a,no_difficulty,don_t_know,n/a,n/a,n/a,n/a,n/a,n/a,5___completely_yes,n/a,n/a,n/a,n/a,don_t_know,n/a,n/a,n/a,n/a,refused,n/a,n/a,n/a,n/a,3___neutral,first_come__fi,n/a,joint_families,n/a,5___completely_yes,5___completely,3___neutral,n/a,n/a,n/a,n/a,n/a,2015-08-31T11:25:57.000+06:45,2015-08-31T11:27:51.000+06:45,uuid:651c11ea-22e2-43b6-b42e-87b42f4c4789,651c11ea-22e2-43b6-b42e-87b42f4c4789,2015-08-31T05:38:44,,,,,,,,,,,,,,,,,
sarita dahal,accountability,31/08/2015,n/a,n/a,n/a,n/a,n/a,Makwanpur,nibuwatar,2,25_39,male,Tamang,n/a,other,driver,no_difficulty,1___not_at_all,long_term_shelter__housing,n/a,financial_support,n/a,seeds_and_fertilizers,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,5___completely_yes,n/a,n/a,n/a,n/a,1___not_at_all,cash_for_work,n/a,building_mater,n/a,1___not_at_all,first_come__fi,n/a,based_on_polit,n/a,4___mostly_yes,4___mostly_yes,4___mostly_yes,refused,n/a,n/a,n/a,n/a,2015-08-31T11:34:02.000+06:45,2015-08-31T11:36:54.000+06:45,uuid:bf70a0e9-e73d-46c5-ad09-c674df8d11ef,bf70a0e9-e73d-46c5-ad09-c674df8d11ef,2015-08-31T05:47:08,,,,,,,,,,,,,,,,,
sarita dahal,accountability,31/08/2015,n/a,n/a,n/a,n/a,n/a,Makwanpur,nibuwatar,2,25_39,male,Tamang,n/a,farmer_laborer,n/a,yes__some_diff,3___neutral,long_term_shelter__housing,n/a,seeds_and_fertilizers,n/a,livelihoods,n/a,2___very_little,building_mater,n/a,cash_for_work,n/a,1___not_at_all,news_about_government_decision,n/a,how_to_register_for_access_sup,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,2___very_little,based_on_polit,n/a,because_people,n/a,1___not_at_all,1___not_at_all,3___neutral,refused,n/a,n/a,n/a,n/a,2015-08-31T11:36:54.000+06:45,2015-08-31T11:38:15.000+06:45,uuid:08dd1b92-708b-4d81-8fb7-7a3acaa136bb,08dd1b92-708b-4d81-8fb7-7a3acaa136bb,2015-08-31T05:48:30,,,,,,,,,,,,,,,,,
sarita dahal,accountability,31/08/2015,n/a,n/a,n/a,n/a,n/a,Makwanpur,nibuwatar,2,55_greater,male,Tamang,n/a,other,student,no_difficulty,5___completely_yes,n/a,n/a,n/a,n/a,n/a,n/a,5___completely_yes,n/a,n/a,n/a,n/a,1___not_at_all,how_to_get_shelter_materials,n/a,news_about_government_decision,n/a,1___not_at_all,building_mater,n/a,food_aid,n/a,5___completely_yes,n/a,n/a,n/a,n/a,1___not_at_all,2___not_very_m,3___neutral,refused,n/a,n/a,n/a,n/a,2015-08-31T11:38:15.000+06:45,2015-08-31T11:39:32.000+06:45,uuid:cbfcef86-b050-4dab-80cb-ca05a224be8d,cbfcef86-b050-4dab-80cb-ca05a224be8d,2015-08-31T05:49:45,,,,,,,,,,,,,,,,,
sarita dahal,accountability,31/08/2015,n/a,n/a,n/a,n/a,n/a,Makwanpur,nibuwatar,2,25_39,male,Newar,n/a,other,driver,no_difficulty,1___not_at_all,long_term_shelter__housing,n/a,financial_support,n/a,toilets_sanitation,n/a,1___not_at_all,cash_for_work,n/a,housing_inspec,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,1___not_at_all,cash_for_work,n/a,building_mater,n/a,1___not_at_all,based_on_polit,n/a,first_come__fi,n/a,1___not_at_all,1___not_at_all,1___not_at_all,refused,n/a,n/a,n/a,n/a,2015-08-31T11:39:32.000+06:45,2015-08-31T11:41:01.000+06:45,uuid:040105f7-642a-4b92-9602-4a817d5a660a,040105f7-642a-4b92-9602-4a817d5a660a,2015-08-31T05:51:14,,,,,,,,,,,,,,,,,
sarita dahal,accountability,31/08/2015,n/a,n/a,n/a,n/a,n/a,Makwanpur,nibuwatar,2,40_54,male,Tamang,n/a,farmer_laborer,n/a,yes__some_diff,3___neutral,long_term_shelter__housing,n/a,healthcare,n/a,seeds_and_fertilizers,n/a,refused,n/a,n/a,n/a,n/a,refused,n/a,n/a,n/a,n/a,1___not_at_all,cash_for_work,n/a,seeds_and_fert,n/a,1___not_at_all,based_on_dista,n/a,based_on_polit,n/a,1___not_at_all,1___not_at_all,2___very_little,refused,n/a,n/a,n/a,n/a,2015-08-31T11:41:01.000+06:45,2015-08-31T11:42:45.000+06:45,uuid:c79dc13b-a2e9-4f34-b6b2-598c1183b25b,c79dc13b-a2e9-4f34-b6b2-598c1183b25b,2015-08-31T05:52:58,,,,,,,,,,,,,,,,,
sarita dahal,accountability,31/08/2015,n/a,n/a,n/a,n/a,n/a,Makwanpur,nibuwatar,1,40_54,female,Tamang,n/a,farmer_laborer,n/a,yes__some_diff,1___not_at_all,long_term_shelter__housing,n/a,financial_support,n/a,seeds_and_fertilizers,n/a,1___not_at_all,cash_for_work,n/a,building_mater,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,1___not_at_all,cash_for_work,n/a,building_mater,n/a,2___very_little,based_on_polit,n/a,first_come__fi,n/a,1___not_at_all,1___not_at_all,3___neutral,1___not_at_all,long_term_shelter__housing,n/a,financial_support,n/a,2015-08-31T11:42:45.000+06:45,2015-08-31T11:44:28.000+06:45,uuid:39b02295-fa18-43a2-bdf1-554fe8348114,39b02295-fa18-43a2-bdf1-554fe8348114,2015-08-31T05:54:41,,,,,,,,,,,,,,,,,
