Name_of_enumerator_agency,Agency,Date,Record_Location,_Record_Location_latitude,_Record_Location_longitude,_Record_Location_altitude,_Record_Location_precision,District,VDC_Municipality,Ward_,Age,Gender,Caste_ethnicity,If__other__what_is_your_caste_,Occupation,If__other__what_is_your_occupa,Do_you_have_any_health_problem,Are_your_main_problems_being_a,What_is_your_biggest_problem,If__other__what_is_your_bigges,What_is_your_second_biggest_pr,If__other__what_is_your_second,What_is_your_third_biggest_pro,If__other__what_is_your_third_,Are_your_main_problems_being_a_001,What_is_the_top_thing_that_you,If__other__what_is_the_top_thi,What_is_the_second_most_import,If__other__what_is_the_second_,Are_your_main_problems_being_a_002,What_is_the_top_thing_that_you_001,If__other__what_is_the_top_thi_001,What_is_the_second_most_import_001,If__other__what_is_the_second__001,Are_your_main_problems_being_a_003,What_is_the_top_thing_that_you_002,If__other__what_is_the_top_thi_002,What_is_the_top_thing_that_you_003,If__other__what_is_the_second__002,Are_your_main_problems_being_a_004,What_is_the_top_reason_for_you,If__other__what_is_the_top_rea,What_is_the_top_reason_for_you_001,If_other_what_is_the_top_rea,Are_your_main_problems_being_a_005,Do_you_feel_you_have_been_hear,Are_your_main_problems_being_a_006,Are_your_main_problems_being_a_007,What_is_your_biggest_problem_001,If__other__what_is_the_biggest,What_is_your_biggest_problem_0,If__other__what_is_the_second__003,start,end,meta/instanceID,_uuid,_submission_time,_tags,_notes
Shanti Ghimire,accountability,7/18/15,n/a,n/a,n/a,n/a,n/a,lalitpur,VDC,6,40_54,male,tamang,n/a,farmer_laborer,n/a,no_difficulty,1___not_at_all,long_term_shelter__housing,n/a,financial_support,n/a,toilets_sanitation,n/a,1___not_at_all,building_mater,n/a,housing_inspec,n/a,2___very_little,how_to_get_shelter_materials,n/a,news_about_government_decision,n/a,2___very_little,building_mater,n/a,cash_for_work,n/a,2___very_little,based_on_polit,n/a,first_come__fi,n/a,2___very_little,2___not_very_m,2___very_little,n/a,n/a,n/a,n/a,n/a,2015-07-20T12:32:10.000+06:45,2015-07-20T13:18:25.000+06:45,uuid:db85803d-397e-4b22-bc53-7c2fe91e1cb7,db85803d-397e-4b22-bc53-7c2fe91e1cb7,2015-07-20T07:34:46,,
Rojina shrestha,accountability,7/14/15,n/a,n/a,n/a,n/a,n/a,lalitpur,municipality,5,40_54,male,newar,n/a,farmer_laborer,n/a,no_difficulty,1___not_at_all,long_term_shelter__housing,n/a,long_term_shelter__housing,n/a,financial_support,n/a,2___very_little,building_mater,n/a,building_mater,n/a,2___very_little,how_to_get_shelter_materials,n/a,news_about_government_decision,n/a,2___very_little,building_mater,n/a,building_mater,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,1___not_at_all,3___neutral,3___neutral,n/a,n/a,n/a,n/a,n/a,2015-07-20T12:32:59.000+06:45,2015-07-20T13:20:06.000+06:45,uuid:77d47270-8982-4178-bb5e-1eab02e37030,77d47270-8982-4178-bb5e-1eab02e37030,2015-07-20T07:35:24,,
Shanti Ghimire,accountability,7/18/15,n/a,n/a,n/a,n/a,n/a,lalitpur,VDC,6,40_54,male,tamang,n/a,farmer_laborer,n/a,yes__some_diff,1___not_at_all,healthcare,n/a,long_term_shelter__housing,n/a,financial_support,n/a,2___very_little,cash_for_work,n/a,building_mater,n/a,2___very_little,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,2___very_little,cash_for_work,n/a,building_mater,n/a,2___very_little,based_on_caste,n/a,based_on_polit,n/a,2___very_little,2___not_very_m,2___very_little,n/a,n/a,n/a,n/a,n/a,2015-07-20T13:18:25.000+06:45,2015-07-20T13:21:45.000+06:45,uuid:e8dd7722-e408-45e8-9544-63146f2ceabb,e8dd7722-e408-45e8-9544-63146f2ceabb,2015-07-20T07:38:04,,
Bidushi Sijapati,accountability,7/14/15,n/a,n/a,n/a,n/a,n/a,lalitpur,municipality,1,40_54,male,newar,n/a,ngo_worker_business,n/a,no_difficulty,5___completely_yes,n/a,n/a,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,2___very_little,news_about_government_decision,n/a,how_to_register_for_access_sup,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,1___not_at_all,4___mostly_yes,3___neutral,n/a,n/a,n/a,n/a,n/a,2015-07-20T13:20:06.000+06:45,2015-07-20T13:25:53.000+06:45,uuid:42b885ae-b928-4207-b34a-08e6e4fde212,42b885ae-b928-4207-b34a-08e6e4fde212,2015-07-20T07:40:41,,
Shanti Ghimire,accountability,7/18/15,n/a,n/a,n/a,n/a,n/a,lalitpur,VDC,6,25_39,male,tamang,n/a,government_service__i_e__teach,n/a,no_difficulty,2___very_little,long_term_shelter__housing,n/a,toilets_sanitation,n/a,short_term_shelter__tent_shelt,n/a,2___very_little,building_mater,n/a,cash_for_work,n/a,5___completely_yes,n/a,n/a,n/a,n/a,5___completely_yes,n/a,n/a,n/a,n/a,5___completely_yes,n/a,n/a,n/a,n/a,2___very_little,5___completely,2___very_little,n/a,n/a,n/a,n/a,n/a,2015-07-20T13:21:46.000+06:45,2015-07-20T13:24:58.000+06:45,uuid:998e1a9a-b51e-4246-bfe3-0c97d04e6305,998e1a9a-b51e-4246-bfe3-0c97d04e6305,2015-07-20T07:41:16,,
Shanti Ghimire,accountability,7/18/15,n/a,n/a,n/a,n/a,n/a,lalitpur,VDC,3,25_39,female,tamang,n/a,government_service__i_e__teach,n/a,no_difficulty,1___not_at_all,long_term_shelter__housing,n/a,healthcare,n/a,toilets_sanitation,n/a,2___very_little,building_mater,n/a,cash_for_work,n/a,5___completely_yes,n/a,n/a,n/a,n/a,2___very_little,cash_for_work,n/a,building_mater,n/a,2___very_little,based_on_polit,n/a,first_come__fi,n/a,2___very_little,2___not_very_m,2___very_little,1___not_at_all,gender_based_violence,n/a,long_term_shelter__housing,n/a,2015-07-20T13:24:58.000+06:45,2015-07-20T13:28:51.000+06:45,uuid:acdc95b9-2795-46dd-946e-141f636d8c5c,acdc95b9-2795-46dd-946e-141f636d8c5c,2015-07-20T07:45:09,,
Sajal maharjan,accountability,7/14/15,n/a,n/a,n/a,n/a,n/a,lalitpur,municipality,5,15_24,male,newar,n/a,ngo_worker_business,n/a,no_difficulty,2___very_little,clean_water,n/a,clean_water,n/a,toilets_sanitation,n/a,2___very_little,building_mater,n/a,building_mater,n/a,2___very_little,news_about_government_decision,n/a,how_to_get_healthcare_psycholo,n/a,2___very_little,building_mater,n/a,building_mater,n/a,3___neutral,only_if_damage,n/a,first_come__fi,n/a,1___not_at_all,2___not_very_m,2___very_little,n/a,n/a,n/a,n/a,n/a,2015-07-20T13:25:54.000+06:45,2015-07-20T13:32:04.000+06:45,uuid:4aab16ef-432d-4a04-9f52-a38601e4725e,4aab16ef-432d-4a04-9f52-a38601e4725e,2015-07-20T07:46:19,,
Shanti Ghimire,accountability,7/17/15,n/a,n/a,n/a,n/a,n/a,lalitpur,VDC,3,40_54,male,brahmin,n/a,farmer_laborer,n/a,no_difficulty,1___not_at_all,long_term_shelter__housing,n/a,healthcare,n/a,housing_inspections,n/a,2___very_little,cash_for_work,n/a,seeds_and_fert,n/a,1___not_at_all,how_to_get_shelter_materials,n/a,how_to_get_healthcare_psycholo,n/a,2___very_little,cash_for_work,n/a,seeds_and_fert,n/a,2___very_little,based_on_caste,n/a,based_on_polit,n/a,2___very_little,2___not_very_m,2___very_little,n/a,n/a,n/a,n/a,n/a,2015-07-20T13:28:51.000+06:45,2015-07-20T13:31:12.000+06:45,uuid:afcd7803-1d76-4db5-a2aa-14d0b016b13d,afcd7803-1d76-4db5-a2aa-14d0b016b13d,2015-07-20T07:47:30,,
Shanti Ghimire,accountability,7/17/15,n/a,n/a,n/a,n/a,n/a,lalitpur,VDC,3,40_54,male,brahmin,n/a,farmer_laborer,n/a,no_difficulty,2___very_little,long_term_shelter__housing,n/a,toilets_sanitation,n/a,seeds_and_fertilizers,n/a,2___very_little,building_mater,n/a,cash_for_work,n/a,2___very_little,how_to_get_shelter_materials,n/a,how_to_replace_personal_docume,n/a,2___very_little,building_mater,n/a,seeds_and_fert,n/a,2___very_little,based_on_caste,n/a,first_come__fi,n/a,2___very_little,2___not_very_m,2___very_little,n/a,n/a,n/a,n/a,n/a,2015-07-20T13:35:45.000+06:45,2015-07-20T13:38:27.000+06:45,uuid:8625a174-c47b-4914-9a28-e0eb049f854e,8625a174-c47b-4914-9a28-e0eb049f854e,2015-07-20T07:55:13,,
bidushi sijapati,accountability,7/14/15,n/a,n/a,n/a,n/a,n/a,lalitpur,municipality,7,25_39,male,newar,n/a,ngo_worker_business,n/a,no_difficulty,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,n/a,2___very_little,building_mater,n/a,building_mater,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,3___neutral,only_if_damage,n/a,first_come__fi,n/a,1___not_at_all,2___not_very_m,2___very_little,n/a,n/a,n/a,n/a,n/a,2015-07-20T13:36:15.000+06:45,2015-07-20T13:39:58.000+06:45,uuid:5e954282-1f04-457f-863f-3daf94a4d871,5e954282-1f04-457f-863f-3daf94a4d871,2015-07-20T07:55:58,,
Bidushi sijapati,accountability,7/14/15,n/a,n/a,n/a,n/a,n/a,lalitpur,municipality,7,40_54,female,newar,n/a,other,house wife,yes__some_diff,1___not_at_all,long_term_shelter__housing,n/a,financial_support,n/a,short_term_shelter__tent_shelt,n/a,1___not_at_all,building_mater,n/a,building_mater,n/a,1___not_at_all,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,1___not_at_all,building_mater,n/a,building_mater,n/a,1___not_at_all,first_come__fi,n/a,only_if_damage,n/a,1___not_at_all,1___not_at_all,1___not_at_all,2___very_little,short_term_shelter__tent_shelt,n/a,short_term_shelter__tent_shelt,n/a,2015-07-20T13:48:13.000+06:45,2015-07-20T13:51:01.000+06:45,uuid:d48db765-aa19-46bd-99bc-1b8f986aedc1,d48db765-aa19-46bd-99bc-1b8f986aedc1,2015-07-20T08:07:00,,
Shanti Ghimire,accountability,7/17/15,n/a,n/a,n/a,n/a,n/a,lalitpur,VDC,3,25_39,male,tamang,n/a,government_service__i_e__teach,n/a,no_difficulty,2___very_little,long_term_shelter__housing,n/a,education,n/a,housing_inspections,n/a,2___very_little,building_mater,n/a,cash_for_work,n/a,2___very_little,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,2___very_little,building_mater,n/a,housing_inspec,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,5___completely_yes,2___not_very_m,2___very_little,n/a,n/a,n/a,n/a,n/a,2015-07-20T13:46:38.000+06:45,2015-07-20T13:50:23.000+06:45,uuid:b26772ab-dcd8-470a-b686-d732aa72ab03,b26772ab-dcd8-470a-b686-d732aa72ab03,2015-07-20T08:07:10,,
Rojina shrestha,accountability,7/14/15,n/a,n/a,n/a,n/a,n/a,lalitpur,municipality,7,25_39,female,newar,n/a,skilled_worker__i_e__carpenter,n/a,no_difficulty,2___very_little,short_term_shelter__tent_shelt,n/a,long_term_shelter__housing,n/a,financial_support,n/a,2___very_little,cash_for_work,n/a,cash_for_work,n/a,1___not_at_all,news_about_government_decision,n/a,news_about_government_decision,n/a,2___very_little,building_mater,n/a,building_mater,n/a,2___very_little,first_come__fi,n/a,other,on the basis of power,2___very_little,2___not_very_m,2___very_little,4___mostly_yes,n/a,n/a,n/a,n/a,2015-07-20T13:51:02.000+06:45,2015-07-20T13:53:45.000+06:45,uuid:5456b93b-2b04-40d4-a967-7f5e607206db,5456b93b-2b04-40d4-a967-7f5e607206db,2015-07-20T08:09:44,,
Rojina shrestha,accountability,7/14/15,n/a,n/a,n/a,n/a,n/a,lalitpur,municipality,7,25_39,female,newar,n/a,other,house wife,no_difficulty,2___very_little,short_term_shelter__tent_shelt,n/a,financial_support,n/a,financial_support,n/a,2___very_little,building_mater,n/a,building_mater,n/a,2___very_little,how_to_register_for_access_sup,n/a,how_to_get_shelter_materials,n/a,1___not_at_all,building_mater,n/a,building_mater,n/a,1___not_at_all,only_if_damage,n/a,first_come__fi,n/a,1___not_at_all,2___not_very_m,2___very_little,3___neutral,child_protection,n/a,option_15,n/a,2015-07-20T13:53:46.000+06:45,2015-07-20T13:56:44.000+06:45,uuid:e0be858b-8bf6-4537-b061-ff99c9987203,e0be858b-8bf6-4537-b061-ff99c9987203,2015-07-20T08:12:43,,
Shanta Ghimire,accountability,7/17/15,n/a,n/a,n/a,n/a,n/a,lalitpur,VDC,5,25_39,male,brahmin,n/a,farmer_laborer,n/a,no_difficulty,2___very_little,housing_inspections,n/a,toilets_sanitation,n/a,long_term_shelter__housing,n/a,2___very_little,building_mater,n/a,seeds_and_fert,n/a,2___very_little,how_to_get_shelter_materials,n/a,news_about_government_decision,n/a,2___very_little,building_mater,n/a,cash_for_work,n/a,2___very_little,based_on_polit,n/a,first_come__fi,n/a,2___very_little,2___not_very_m,2___very_little,n/a,n/a,n/a,n/a,n/a,2015-07-20T13:54:17.000+06:45,2015-07-20T13:56:30.000+06:45,uuid:45e708b4-59cf-4610-8d3b-3c8d7c76653e,45e708b4-59cf-4610-8d3b-3c8d7c76653e,2015-07-20T08:13:19,,
rojina shrestha,accountability,7/14/15,n/a,n/a,n/a,n/a,n/a,lalitpur,municipality,7,40_54,male,newar,n/a,ngo_worker_business,n/a,yes__some_diff,1___not_at_all,long_term_shelter__housing,n/a,financial_support,n/a,financial_support,n/a,1___not_at_all,building_mater,n/a,building_mater,n/a,3___neutral,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,3___neutral,building_mater,n/a,building_mater,n/a,3___neutral,only_if_damage,n/a,only_if_damage,n/a,1___not_at_all,2___not_very_m,2___very_little,n/a,n/a,n/a,n/a,n/a,2015-07-20T13:56:45.000+06:45,2015-07-20T14:00:06.000+06:45,uuid:5ce385dc-ba31-4f3c-968a-3306a0406ec2,5ce385dc-ba31-4f3c-968a-3306a0406ec2,2015-07-20T08:16:12,,
bidushi sijapati,accountability,7/14/15,n/a,n/a,n/a,n/a,n/a,lalitpur,municipality,1,40_54,male,newar,n/a,farmer_laborer,n/a,no_difficulty,3___neutral,short_term_shelter__tent_shelt,n/a,long_term_shelter__housing,n/a,long_term_shelter__housing,n/a,3___neutral,building_mater,n/a,cash_for_work,n/a,1___not_at_all,news_about_government_decision,n/a,how_to_replace_personal_docume,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,1___not_at_all,other,power used,first_come__fi,n/a,1___not_at_all,1___not_at_all,1___not_at_all,n/a,n/a,n/a,n/a,n/a,2015-07-20T14:00:06.000+06:45,2015-07-20T14:02:31.000+06:45,uuid:71b312eb-e861-4f3c-98b2-4c6b37612882,71b312eb-e861-4f3c-98b2-4c6b37612882,2015-07-20T08:18:29,,
Shanti Ghimire,accountability,7/17/15,n/a,n/a,n/a,n/a,n/a,lalitpur,VDC,5,25_39,male,chhetri,n/a,farmer_laborer,n/a,no_difficulty,2___very_little,long_term_shelter__housing,n/a,healthcare,n/a,seeds_and_fertilizers,n/a,2___very_little,building_mater,n/a,cash_for_work,n/a,5___completely_yes,n/a,n/a,n/a,n/a,2___very_little,seeds_and_fert,n/a,cash_for_work,n/a,2___very_little,based_on_caste,n/a,based_on_polit,n/a,2___very_little,2___not_very_m,2___very_little,n/a,n/a,n/a,n/a,n/a,2015-07-20T14:03:52.000+06:45,2015-07-20T14:06:14.000+06:45,uuid:2e93e6e0-9961-4147-81f9-865d4bac95d2,2e93e6e0-9961-4147-81f9-865d4bac95d2,2015-07-20T08:21:26,,
rojina shrestha,accountability,7/14/15,n/a,n/a,n/a,n/a,n/a,lalitpur,municipality,1,15_24,female,newar,n/a,farmer_laborer,n/a,no_difficulty,2___very_little,long_term_shelter__housing,n/a,financial_support,n/a,financial_support,n/a,2___very_little,building_mater,n/a,housing_inspec,n/a,2___very_little,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,1___not_at_all,building_mater,n/a,building_mater,n/a,2___very_little,first_come__fi,n/a,other,power used,1___not_at_all,2___not_very_m,1___not_at_all,1___not_at_all,toilets_sanitation,n/a,option_15,n/a,2015-07-20T14:02:31.000+06:45,2015-07-20T14:05:31.000+06:45,uuid:84e66e70-59cd-4e98-9d87-4b3f7b2fe924,84e66e70-59cd-4e98-9d87-4b3f7b2fe924,2015-07-20T08:21:29,,
Shanti Ghimire,accountability,7/10/15,n/a,n/a,n/a,n/a,n/a,lalitpur,VDC,5,25_39,female,tamang,n/a,government_service__i_e__teach,n/a,no_difficulty,2___very_little,long_term_shelter__housing,n/a,toilets_sanitation,n/a,housing_inspections,n/a,5___completely_yes,n/a,n/a,n/a,n/a,5___completely_yes,n/a,n/a,n/a,n/a,2___very_little,cash_for_work,n/a,building_mater,n/a,3___neutral,based_on_caste,n/a,first_come__fi,n/a,2___very_little,2___not_very_m,2___very_little,2___very_little,gender_based_violence,n/a,healthcare,n/a,2015-07-20T14:06:14.000+06:45,2015-07-20T14:08:17.000+06:45,uuid:b1746bea-25b8-4a40-bcb0-8ee69ddd3a22,b1746bea-25b8-4a40-bcb0-8ee69ddd3a22,2015-07-20T08:23:29,,
bidushi sijapati,accountability,7/14/15,n/a,n/a,n/a,n/a,n/a,lalitpur,municipality,1,15_24,male,newar,n/a,government_service__i_e__teach,n/a,no_difficulty,1___not_at_all,short_term_shelter__tent_shelt,n/a,financial_support,n/a,toilets_sanitation,n/a,1___not_at_all,building_mater,n/a,building_mater,n/a,2___very_little,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,1___not_at_all,because_people,n/a,first_come__fi,n/a,1___not_at_all,3___neutral,1___not_at_all,n/a,n/a,n/a,n/a,n/a,2015-07-20T14:05:31.000+06:45,2015-07-20T14:07:56.000+06:45,uuid:22e7ac1f-4aae-4b74-ae99-8d7194237a14,22e7ac1f-4aae-4b74-ae99-8d7194237a14,2015-07-20T08:23:57,,
Shanti Ghimire,accountability,7/17/15,n/a,n/a,n/a,n/a,n/a,lalitpur,VDC,5,55,male,chhetri,n/a,farmer_laborer,n/a,no_difficulty,1___not_at_all,long_term_shelter__housing,n/a,healthcare,n/a,housing_inspections,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,5___completely_yes,n/a,n/a,n/a,n/a,2___very_little,building_mater,n/a,seeds_and_fert,n/a,2___very_little,based_on_caste,n/a,based_on_polit,n/a,2___very_little,2___not_very_m,2___very_little,n/a,n/a,n/a,n/a,n/a,2015-07-20T14:08:17.000+06:45,2015-07-20T14:10:18.000+06:45,uuid:ca84b6bc-8b03-4bb6-b148-13dc80b7dcfc,ca84b6bc-8b03-4bb6-b148-13dc80b7dcfc,2015-07-20T08:25:31,,
Bidushi sijapati,accountability,7/14/15,n/a,n/a,n/a,n/a,n/a,lalitpur,municipality,1,40_54,female,newar,n/a,other,house wife,no_difficulty,1___not_at_all,short_term_shelter__tent_shelt,n/a,financial_support,n/a,financial_support,n/a,2___very_little,building_mater,n/a,option_6,financial help,2___very_little,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,3___neutral,building_mater,n/a,building_mater,n/a,1___not_at_all,first_come__fi,n/a,first_come__fi,n/a,1___not_at_all,1___not_at_all,1___not_at_all,refused,n/a,n/a,n/a,n/a,2015-07-20T14:07:56.000+06:45,2015-07-20T14:11:12.000+06:45,uuid:97e156a0-7f1a-4dea-8b7d-1aa7fd7c0ac6,97e156a0-7f1a-4dea-8b7d-1aa7fd7c0ac6,2015-07-20T08:27:12,,
Shanti Ghimire,accountability,7/17/15,n/a,n/a,n/a,n/a,n/a,lalitpur,VDC,5,40_54,male,chhetri,n/a,farmer_laborer,n/a,no_difficulty,1___not_at_all,long_term_shelter__housing,n/a,toilets_sanitation,n/a,seeds_and_fertilizers,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,5___completely_yes,n/a,n/a,n/a,n/a,5___completely_yes,n/a,n/a,n/a,n/a,5___completely_yes,n/a,n/a,n/a,n/a,2___very_little,2___not_very_m,2___very_little,n/a,n/a,n/a,n/a,n/a,2015-07-20T14:10:19.000+06:45,2015-07-20T14:12:09.000+06:45,uuid:f9422f79-484d-4f35-81b1-9a3979ea6086,f9422f79-484d-4f35-81b1-9a3979ea6086,2015-07-20T08:27:21,,
Bidushi sijapati,accountability,7/14/15,n/a,n/a,n/a,n/a,n/a,lalitpur,municipality,1,40_54,female,newar,n/a,farmer_laborer,n/a,no_difficulty,3___neutral,long_term_shelter__housing,n/a,financial_support,n/a,financial_support,n/a,3___neutral,building_mater,n/a,seeds_and_fert,n/a,2___very_little,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,3___neutral,building_mater,n/a,seeds_and_fert,n/a,2___very_little,only_if_damage,n/a,first_come__fi,n/a,1___not_at_all,3___neutral,3___neutral,5___completely_yes,n/a,n/a,n/a,n/a,2015-07-20T14:11:12.000+06:45,2015-07-20T14:14:37.000+06:45,uuid:6fa1fde3-63ec-4388-9cb7-df109bba67af,6fa1fde3-63ec-4388-9cb7-df109bba67af,2015-07-20T08:30:36,,
rojina shrestha,accountability,7/18/15,n/a,n/a,n/a,n/a,n/a,lalitpur,municipality,8,25_39,male,gurung,n/a,farmer_laborer,n/a,no_difficulty,1___not_at_all,short_term_shelter__tent_shelt,n/a,long_term_shelter__housing,n/a,financial_support,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,1___not_at_all,news_about_government_decision,n/a,news_about_government_decision,n/a,3___neutral,building_mater,n/a,cash_for_work,n/a,1___not_at_all,only_if_damage,n/a,first_come__fi,n/a,3___neutral,2___not_very_m,2___very_little,n/a,n/a,n/a,n/a,n/a,2015-07-20T14:14:37.000+06:45,2015-07-20T14:17:46.000+06:45,uuid:905334d5-bf52-42ee-8a4d-9f515872f4f9,905334d5-bf52-42ee-8a4d-9f515872f4f9,2015-07-20T08:33:38,,
Tara Sapkota,accountability,7/14/15,n/a,n/a,n/a,n/a,n/a,lalitpur,VDC,3,25_39,female,other,magar,farmer_laborer,n/a,no_difficulty,3___neutral,short_term_shelter__tent_shelt,n/a,seeds_and_fertilizers,n/a,financial_support,n/a,1___not_at_all,cash_for_work,n/a,building_mater,n/a,1___not_at_all,how_to_register_for_access_sup,n/a,how_to_get_shelter_materials,n/a,5___completely_yes,n/a,n/a,n/a,n/a,1___not_at_all,other,dont know,other,dont know,1___not_at_all,1___not_at_all,1___not_at_all,1___not_at_all,short_term_shelter__tent_shelt,n/a,long_term_shelter__housing,n/a,2015-07-20T14:12:10.000+06:45,2015-07-20T14:16:25.000+06:45,uuid:053a615d-4a6f-4142-977d-0b1924492bf2,053a615d-4a6f-4142-977d-0b1924492bf2,2015-07-20T08:34:05,,
Rojina Shrestha,accountability,7/18/15,n/a,n/a,n/a,n/a,n/a,lalitpur,VDC,8,40_54,male,tamang,n/a,farmer_laborer,n/a,no_difficulty,1___not_at_all,short_term_shelter__tent_shelt,n/a,long_term_shelter__housing,n/a,financial_support,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,1___not_at_all,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,3___neutral,building_mater,n/a,cash_for_work,n/a,1___not_at_all,first_come__fi,n/a,based_on_polit,n/a,2___very_little,2___not_very_m,2___very_little,n/a,n/a,n/a,n/a,n/a,2015-07-20T14:16:25.000+06:45,2015-07-20T14:20:26.000+06:45,uuid:c08da22a-9a92-444c-8909-b565100d6560,c08da22a-9a92-444c-8909-b565100d6560,2015-07-20T08:35:37,,
Tara Sapkota,accountability,7/15/15,n/a,n/a,n/a,n/a,n/a,lalitpur,badikhel,5,55,male,janajati,n/a,farmer_laborer,n/a,no_difficulty,3___neutral,livelihoods,n/a,short_term_shelter__tent_shelt,n/a,seeds_and_fertilizers,n/a,1___not_at_all,building_mater,n/a,seeds_and_fert,n/a,don_t_know,n/a,n/a,n/a,n/a,5___completely_yes,n/a,n/a,n/a,n/a,1___not_at_all,based_on_polit,n/a,joint_families,n/a,5___completely_yes,2___not_very_m,1___not_at_all,n/a,n/a,n/a,n/a,n/a,2015-07-20T14:14:13.000+06:45,2015-07-20T14:21:10.000+06:45,uuid:f342670d-c79e-457c-9645-9f7b32a48291,f342670d-c79e-457c-9645-9f7b32a48291,2015-07-20T08:37:02,,
bidushi sijapati,accountability,7/18/15,n/a,n/a,n/a,n/a,n/a,lalitpur,vdc,9,15_24,female,janajati,n/a,farmer_laborer,n/a,no_difficulty,1___not_at_all,long_term_shelter__housing,n/a,financial_support,n/a,healthcare,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,1___not_at_all,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,5___completely_yes,n/a,n/a,n/a,n/a,3___neutral,2___not_very_m,4___mostly_yes,4___mostly_yes,n/a,n/a,n/a,n/a,2015-07-20T14:17:46.000+06:45,2015-07-20T14:21:35.000+06:45,uuid:0cecda4d-ad13-4f99-8fc1-85975f170fee,0cecda4d-ad13-4f99-8fc1-85975f170fee,2015-07-20T08:37:09,,
Rojina Shrestha,accountability,7/18/15,n/a,n/a,n/a,n/a,n/a,lalitpur,VDC,8,25_39,female,gurung,n/a,farmer_laborer,n/a,no_difficulty,2___very_little,short_term_shelter__tent_shelt,n/a,long_term_shelter__housing,n/a,financial_support,n/a,1___not_at_all,building_mater,n/a,cash_for_work,n/a,1___not_at_all,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,1___not_at_all,cash_for_work,n/a,building_mater,n/a,1___not_at_all,based_on_polit,n/a,first_come__fi,n/a,2___very_little,2___not_very_m,2___very_little,1___not_at_all,short_term_shelter__tent_shelt,n/a,long_term_shelter__housing,n/a,2015-07-20T14:20:26.000+06:45,2015-07-20T14:23:13.000+06:45,uuid:3a86aa44-edde-4cab-a571-dbfe8c08dd31,3a86aa44-edde-4cab-a571-dbfe8c08dd31,2015-07-20T08:38:24,,
tara sapkota,accountability,7/14/15,n/a,n/a,n/a,n/a,n/a,lalitpur,bhattedada,6,40_54,male,tamang,n/a,farmer_laborer,n/a,no_difficulty,4___mostly_yes,n/a,n/a,n/a,n/a,n/a,n/a,3___neutral,cash_for_work,n/a,building_mater,n/a,2___very_little,how_to_get_shelter_materials,n/a,news_about_government_decision,n/a,4___mostly_yes,n/a,n/a,n/a,n/a,5___completely_yes,n/a,n/a,n/a,n/a,3___neutral,3___neutral,5___completely_yes,n/a,n/a,n/a,n/a,n/a,2015-07-20T14:15:17.000+06:45,2015-07-20T14:22:56.000+06:45,uuid:b516297b-a9a3-43f1-a3d5-1a96cfb77abb,b516297b-a9a3-43f1-a3d5-1a96cfb77abb,2015-07-20T08:38:35,,
Rojina Shrestha,accountability,7/18/15,n/a,n/a,n/a,n/a,n/a,lalitpur,VDC,8,40_54,female,gurung,n/a,farmer_laborer,n/a,no_difficulty,1___not_at_all,long_term_shelter__housing,n/a,short_term_shelter__tent_shelt,n/a,financial_support,n/a,2___very_little,building_mater,n/a,cash_for_work,n/a,2___very_little,news_about_government_decision,n/a,how_to_get_shelter_materials,n/a,2___very_little,cash_for_work,n/a,building_mater,n/a,2___very_little,based_on_polit,n/a,first_come__fi,n/a,3___neutral,2___not_very_m,3___neutral,2___very_little,short_term_shelter__tent_shelt,n/a,long_term_shelter__housing,n/a,2015-07-20T14:23:13.000+06:45,2015-07-20T14:26:42.000+06:45,uuid:a1fef8c4-a6dc-4c47-8ac7-bd98ea754a25,a1fef8c4-a6dc-4c47-8ac7-bd98ea754a25,2015-07-20T08:41:53,,
